paraquestion,SQL,Header
What is the lowest rank of richard virenque?,select MIN(Rank) where Name eq richard virenque ,"['Rank', 'Name', 'Country', 'Wins', 'Years']"
Which years have a Rank greater than 2 and wins of 2 and a country of France?,select Years where Rank lt 2 and Wins eq 2 and Country eq france ,"['Rank', 'Name', 'Country', 'Wins', 'Years']"
Which years have a Rank larger than 2 and wins of 2 and a country of France?,select Years where Rank lt 2 and Wins eq 2 and Country eq france ,"['Rank', 'Name', 'Country', 'Wins', 'Years']"
Which years have a Rank greater than 2 and Wins of 2 and a country of France?,select Years where Rank lt 2 and Wins eq 2 and Country eq france ,"['Rank', 'Name', 'Country', 'Wins', 'Years']"
What is the home team with the New York Rangers as the visitor team?,select Home where Visitor eq ny rangers ,"['Date', 'Visitor', 'Score', 'Home', 'Decision', 'Attendance', 'Record']"
What is the record on October 13 when Philadelphia was the home team?,select Record where Home eq philadelphia and Date eq october 13 ,"['Date', 'Visitor', 'Score', 'Home', 'Decision', 'Attendance', 'Record']"
What is the record on October 13 when philadelphia was the home team?,select Record where Home eq philadelphia and Date eq october 13 ,"['Date', 'Visitor', 'Score', 'Home', 'Decision', 'Attendance', 'Record']"
What is season when the opponent is source: last updated: 28 June 2007?,select Season where Opponent eq source: . last updated: 28 june 2007. ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
What is the season when the opponent is source: last updated: 28 June 2007?,select Season where Opponent eq source: . last updated: 28 june 2007. ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
What is season when Opponent is source: last updated: 28 June 2007?,select Season where Opponent eq source: . last updated: 28 june 2007. ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
What is the venue when the figure is 5/29?,select Venue where Figures eq 5/29 ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
What is the venue when the figures is 5/29?,select Venue where Figures eq 5/29 ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
What is Opponent when Rank is 3?,select Opponent where Rank eq 3 ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
What is Opponent when rank is 3?,select Opponent where Rank eq 3 ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
What is Player when Figures is source: last updated: 28 June 2007?,select Player where Figures eq source: . last updated: 28 june 2007. ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
What is Player when Figures is source: Last updated: 28 June 2007?,select Player where Figures eq source: . last updated: 28 june 2007. ,"['Rank', 'Figures', 'Player', 'Opponent', 'Venue', 'Season']"
